ID,Code,Description,supplierCode,additionalInfo,imageURL,Unit,BulkPrice,StandardPrice,stockNSW,stockQLD,stockVIC,stockWA,barcode,barcodeInner,brand,categories
140782,39005,LEGAL TAPE 9X36 PINK,,,http://webconnect.groupnews.com.au/prodlarge/39005.jpg,CARD,$5.85,$6.09,3,9,16,0,9310924302281,9310924302281,ESSELTE,"Products>ADHESIVE TAPES, DISPENSERS &amp; ACCESSORIES>Electrical / Insulation / Cloth"
62841,74551,TAPE ALL WEATHER CLING 48MMX15M,680220,Multi-purpose repair tape. High sheer strength. Outdoor applications.,http://webconnect.groupnews.com.au/prodlarge/74551.jpg,EACH,$7.26,$8.07,3,15,11,3,9313156001229,9313156001229,CLING,"Products>ADHESIVE TAPES, DISPENSERS &amp; ACCESSORIES>Electrical / Insulation / Cloth"
62846,99026,TAPE BOOKBINDING CLING 36MMX4.5M BLACK ROLL,745330,"1001 uses. Ideal for sealing and insulating, ultra durable, strong grip.",http://webconnect.groupnews.com.au/prodlarge/99026.jpg,PKT,$2.26,$2.51,13,43,16,9,9313156001670,9313156001670,CLING,"Products>ADHESIVE TAPES, DISPENSERS &amp; ACCESSORIES>Electrical / Insulation / Cloth"
62844,99027,TAPE BOOKBINDING CLING 48MMX4.5M ASST,745345,"1001 uses. Ideal for sealing and insulating, ultra durable, strong grip.",http://webconnect.groupnews.com.au/prodlarge/99027.jpg,BX12,$21.62,$24.03,8,8,9,0,19313156000717,9313156000710,CLING,"Products>ADHESIVE TAPES, DISPENSERS &amp; ACCESSORIES>Electrical / Insulation / Cloth"
1959,26319,TAPE CLINGTAPE POWER TAPE EXTREME 4M FLUORO YELLOW,479416,"Clingtape™ branded quality cloth tape in fluorescent yellow. Strong waterproof cloth tape ideal for office, home & leisure. Can be used to highlight obstacles and hazards or to mark & highlight possessions etc. Safe bright and super strong. 48mm wide x 4m long.",http://webconnect.groupnews.com.au/prodlarge/26319.jpg,EACH,$3.52,$3.93,22,16,17,19,9313156005500,9317354700250,DUCK,"Products>ADHESIVE TAPES, DISPENSERS &amp; ACCESSORIES>Electrical / Insulation / Cloth"
62845,99020,TAPE CLOTH D/SIDED CLING 24MMX5M,679049,"Ideal for binding and repairing. Adheres well in moist conditions. Tears easily by hand,",http://webconnect.groupnews.com.au/prodlarge/99020.jpg,PKT,$4.29,$4.77,4,8,18,0,9313156002134,9313156002134,CLING,"Products>ADHESIVE TAPES, DISPENSERS &amp; ACCESSORIES>Electrical / Insulation / Cloth"
8684,26329,TAPE CLOTH WOTAN OLYMPIC 25MMX25M BLACK,141699,,http://webconnect.groupnews.com.au/prodlarge/26329.jpg,EACH,$6.35,$6.68,4,2,7,0,9310353426022,9310353426022,WOTAN,"Products>ADHESIVE TAPES, DISPENSERS &amp; ACCESSORIES>Electrical / Insulation / Cloth"
4385,26330,TAPE CLOTH WOTAN OLYMPIC 25MMX25M BLUE,141700,,http://webconnect.groupnews.com.au/prodlarge/26330.jpg,EACH,$6.35,$6.68,0,5,18,0,9310353426091,9310353426091,WOTAN,"Products>ADHESIVE TAPES, DISPENSERS &amp; ACCESSORIES>Electrical / Insulation / Cloth"
9264,26331,TAPE CLOTH WOTAN OLYMPIC 25MMX25M GREEN,141701,,http://webconnect.groupnews.com.au/prodlarge/26331.jpg,EACH,$6.35,$6.68,9,4,11,0,9310353426169,9310353426169,WOTAN,"Products>ADHESIVE TAPES, DISPENSERS &amp; ACCESSORIES>Electrical / Insulation / Cloth"
6130,26332,TAPE CLOTH WOTAN OLYMPIC 25MMX25M RED,141703,,http://webconnect.groupnews.com.au/prodlarge/26332.jpg,EACH,$6.35,$6.68,5,3,2,0,9310353426305,9310353426305,WOTAN,"Products>ADHESIVE TAPES, DISPENSERS &amp; ACCESSORIES>Electrical / Insulation / Cloth"
6132,26333,TAPE CLOTH WOTAN OLYMPIC 25MMX25M WHITE,141705,,http://webconnect.groupnews.com.au/prodlarge/26333.jpg,EACH,$6.35,$6.68,0,0,1,0,9310353426510,9310353426510,WOTAN,"Products>ADHESIVE TAPES, DISPENSERS &amp; ACCESSORIES>Electrical / Insulation / Cloth"
1925,26335,TAPE CLOTH WOTAN OLYMPIC 38MMX25M BLACK,141707,,http://webconnect.groupnews.com.au/prodlarge/26335.jpg,EACH,$12.65,$13.32,2,0,9,0,9310353426657,9310353426657,WOTAN,"Products>ADHESIVE TAPES, DISPENSERS &amp; ACCESSORIES>Electrical / Insulation / Cloth"
4234,26337,TAPE CLOTH WOTAN OLYMPIC 38MMX25M GREEN,141709,,http://webconnect.groupnews.com.au/prodlarge/26337.jpg,EACH,$12.65,$13.32,1,3,3,0,9310353426794,9310353426794,OLYMPIC,"Products>ADHESIVE TAPES, DISPENSERS &amp; ACCESSORIES>Electrical / Insulation / Cloth"
2213,26336,TAPE CLOTH WOTAN OLYMPIC 38MMX25M NAVY BLUE,141708,,http://webconnect.groupnews.com.au/prodlarge/26336.jpg,EACH,$12.65,$13.32,4,0,4,0,9310353426725,9310353426725,WOTAN,"Products>ADHESIVE TAPES, DISPENSERS &amp; ACCESSORIES>Electrical / Insulation / Cloth"
2227,26338,TAPE CLOTH WOTAN OLYMPIC 38MMX25M RED,141711,,http://webconnect.groupnews.com.au/prodlarge/26338.jpg,EACH,$12.65,$13.32,3,0,51,0,9310353426930,9310353426930,WOTAN,"Products>ADHESIVE TAPES, DISPENSERS &amp; ACCESSORIES>Electrical / Insulation / Cloth"
8520,26268,TAPE CLOTH WOTAN OLYMPIC 38MMX25M WHITE,141713,,http://webconnect.groupnews.com.au/prodlarge/26268.jpg,EACH,$12.65,$13.32,0,0,5,0,9310353427142,9310353427142,WOTAN,"Products>ADHESIVE TAPES, DISPENSERS &amp; ACCESSORIES>Electrical / Insulation / Cloth"
6651,26340,TAPE CLOTH WOTAN OLYMPIC 50MMX25M BLACK,141715,,http://webconnect.groupnews.com.au/prodlarge/26340.jpg,EACH,$16.88,$17.76,1,7,17,0,9310353427289,9310353427289,WOTAN,"Products>ADHESIVE TAPES, DISPENSERS &amp; ACCESSORIES>Electrical / Insulation / Cloth"
1394,26341,TAPE CLOTH WOTAN OLYMPIC 50MMX25M BLUE,141716,,http://webconnect.groupnews.com.au/prodlarge/26341.jpg,EACH,$16.88,$17.76,7,3,9,0,9310353427357,9310353427357,WOTAN,"Products>ADHESIVE TAPES, DISPENSERS &amp; ACCESSORIES>Electrical / Insulation / Cloth"
1049,26342,TAPE CLOTH WOTAN OLYMPIC 50MMX25M GREEN,141717,,http://webconnect.groupnews.com.au/prodlarge/26342.jpg,EACH,$16.88,$17.76,4,2,4,0,9310353427425,9310353427425,OLYMPIC,"Products>ADHESIVE TAPES, DISPENSERS &amp; ACCESSORIES>Electrical / Insulation / Cloth"
930,26344,TAPE CLOTH WOTAN OLYMPIC 50MMX25M RED,141719,,http://webconnect.groupnews.com.au/prodlarge/26344.jpg,EACH,$16.88,$17.76,2,0,5,0,9310353427562,9310353427562,WOTAN,"Products>ADHESIVE TAPES, DISPENSERS &amp; ACCESSORIES>Electrical / Insulation / Cloth"
902,26345,TAPE CLOTH WOTAN OLYMPIC 50MMX25M WHITE,141722,,http://webconnect.groupnews.com.au/prodlarge/26345.jpg,EACH,$16.88,$17.76,0,0,3,4,9310353427777,9310353427777,WOTAN,"Products>ADHESIVE TAPES, DISPENSERS &amp; ACCESSORIES>Electrical / Insulation / Cloth"
62843,74201,TAPE DUCT CLING SILVER SEALING & JOINING 48MMX30M,680221,"All round sealing and joining tape. All purpose, long lasting. Strong.",http://webconnect.groupnews.com.au/prodlarge/74201.jpg,EACH,$2.81,$3.12,1,41,0,1,9313156005111,9313156003483,CLING,"Products>ADHESIVE TAPES, DISPENSERS &amp; ACCESSORIES>Electrical / Insulation / Cloth"
62829,99022,TAPE GAFFA CLING 48MMX10M BLACK,680214,"Water proof, durable, leaves no residue. Tears easily by hand.",http://webconnect.groupnews.com.au/prodlarge/99022.jpg,EACH,$5.75,$6.39,22,21,18,5,9313156001397,9313156001397,CLING,"Products>ADHESIVE TAPES, DISPENSERS &amp; ACCESSORIES>Electrical / Insulation / Cloth"
1120,26057,TAPE INSULATING SOVEREIGN 18MMX10M BLACK,26057,Ideal for home or office use.,http://webconnect.groupnews.com.au/prodlarge/26057.jpg,PK10,$6.09,$6.34,50,14,17,0,9319519260579,9319519260579,SOVEREIGN,"Products>ADHESIVE TAPES, DISPENSERS &amp; ACCESSORIES>Electrical / Insulation / Cloth"
6502,26201,TAPE INSULATING SOVEREIGN 19MMX10M ASST,26201,Ideal for home or office use.,http://webconnect.groupnews.com.au/prodlarge/26201.jpg,BX24,$14.26,$14.85,26,19,48,0,9319519262016,9319519262016,SOVEREIGN,"Products>ADHESIVE TAPES, DISPENSERS &amp; ACCESSORIES>Electrical / Insulation / Cloth"
13527,70860,FILE FASTENER MARBIG SELF ADHESIVE WHITE PK20,70860,"Two-piece plastic coated metal fastener. Self-Adhesive base can be used anywhere. Keeps papers neat and in place. Ideal for filing, presentations, etc. To use simply separate file fastener, peel off adhesive backing paper and stick adhesive where file fastener is required. Then use like a standard file fastener removing the bar and bending the prongs to right angles, insert pages.",http://webconnect.groupnews.com.au/prodlarge/70860.jpg,PKT,$4.46,$4.65,17,1,19,5,9312311708607,9312311708607,MARBIG,"Products>ADHESIVE TAPES, DISPENSERS &amp; ACCESSORIES>Fastening Products (Velcro)"
122318,26251,HOOK FASTENERS VELCRO 22MM 125 DOTS WHITE,,Velcro® Brand Hook Fasteners 22mm 125 Dots White,http://webconnect.groupnews.com.au/prodlarge/26251.jpg,EACH,$9.76,$10.17,33,11,41,0,9311417201425,9311417201425,VELCRO,"Products>ADHESIVE TAPES, DISPENSERS &amp; ACCESSORIES>Fastening Products (Velcro)"
357,13332,STICKY DOTS SELLO DISCS 120 DOTS 10SHT,990008,"Easy application dots, discs and pads to affix everything around the home, office and school. A quick replacement for messy liquid glues, tacks and drawing pins. Available in different sizes and strengths. The range is all acid, lignin free and non toxic.",http://webconnect.groupnews.com.au/prodlarge/13332.jpg,PKT,$2.66,$2.77,14,48,10,16,9310719058140,9310719058140,SELLOTAPE,"Products>ADHESIVE TAPES, DISPENSERS &amp; ACCESSORIES>Fastening Products (Velcro)"
